gene_name,bio_process,mol_func,syst_id,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
,biological process unknown,molecular function unknown,YHR029C,0.56,0.73,-0.7,-0.98,-0.65,-0.29,0.71,1.07,1.95,2.19,2.22,1.89,0.01,-0.32,-0.28,-0.01,0.17,0.81,-1.18,-0.55,-0.38,-0.28,-0.08,-0.11,0.22,0.82,0.14,0.59,-0.3,-0.66,-1.98,-1.09,-1.12,-0.11,-0.52,-0.68
SPS4,sporulation (sensu Fungi)*,molecular function unknown,YOR313C,-2.1,-0.65,-0.59,-0.38,-0.04,0.11,0.08,1.39,2.39,2.29,2.27,1.42,-0.38,0.1,0.34,0.43,0.12,-0.46,-0.45,0.03,0.19,0.22,0.2,-0.04,NA,-1.84,-1.17,-0.7,-0.23,0.14,NA,-2.05,-0.59,-0.52,-0.87,-0.72
,sulfur metabolism*,cystathionine beta-lyase activity,YFR055W,-0.89,-0.07,-0.44,-0.68,-0.46,0.01,0.26,0.58,1.13,1.47,1.94,2.17,-0.3,0.32,0.45,0.9,0.9,0.78,-0.78,0.01,0.31,0.34,0.38,0.54,0.28,0.39,0.04,0.31,0.39,-0.19,-0.84,-0.66,0.13,-0.28,-0.23,-0.05
GLN3,positive regulation of transcription from RNA polymerase II promoter*,transcription factor activity*,YER040W,0.41,0.49,0.31,-0.16,-0.09,-0.24,-0.16,0.08,0.21,0.09,-0.06,0.01,0.07,-0.09,-0.03,0.11,0.07,0.02,0,0.3,0.24,0.08,-0.05,0.08,0.03,0.23,-0.03,0.06,-0.3,-0.51,-1.25,-0.27,-0.38,-0.2,-0.16,-0.36
SFT2,Golgi to endosome transport,molecular function unknown,YBL102W,0.38,0.45,-0.17,-0.09,-0.18,-0.26,-0.04,0.18,0.21,0.12,-0.09,-0.25,-0.16,-0.17,-0.09,0.05,-0.1,-0.2,-0.06,-0.02,-0.25,-0.19,-0.3,-0.19,-0.2,0.19,-0.27,-0.11,-0.25,-0.26,-0.57,0.09,-0.24,-0.14,-0.02,-0.33
OAR1,aerobic respiration*,3-oxoacyl-[acyl-carrier protein] reductase activity,YKL055C,0.65,0.28,0.32,-0.07,-0.43,-0.33,0.44,0.3,0.31,-0.13,0.04,-0.14,-0.8,-0.31,0.06,-0.31,0.01,-0.34,NA,0.45,0.03,-0.05,-0.27,-0.45,-0.5,0.08,-0.08,-0.37,-0.3,-0.64,NA,0.1,-0.06,-0.51,-0.18,-0.17
LST4,vesicle-mediated transport*,protein transporter activity,YKL176C,-0.05,-0.04,-0.16,-0.11,-0.23,-0.31,0.46,0.25,0.2,-0.25,-0.44,-0.48,-0.17,-0.04,-0.16,0.43,-0.21,-0.24,-0.68,0.11,-0.04,-0.13,-0.28,-0.21,-0.17,-0.01,-0.14,-0.13,-0.3,-0.49,-0.18,0.1,-0.27,-0.47,-0.29,-0.3
,iron ion homeostasis,molecular function unknown,YMR134W,0.04,0.06,0.11,0.15,-0.05,0.01,-0.47,-0.43,0.26,0.08,0.3,-0.01,0.12,-0.11,-0.08,0.11,-0.08,-0.02,0.15,-0.06,0.27,0.18,-2.11,0.2,-0.02,0.11,-0.07,0.03,0.07,0.07,0.48,0.1,-0.14,-0.02,-0.03,-0.08
CIN1,post-chaperonin tubulin folding pathway*,beta-tubulin binding,YOR349W,0.11,-0.08,-0.24,-0.29,0.03,0.04,-0.01,0.2,0.33,0.11,0.18,0.38,0.47,0.05,-0.12,0.23,-0.08,0.28,-0.06,-0.46,-0.14,0.1,-0.09,-0.09,0.27,0.02,-0.21,-0.15,-0.17,-0.08,0.39,0.22,-0.17,-0.59,-0.23,-0.24
RAD55,meiotic DNA recombinase assembly*,protein binding,YDR076W,-1.18,0.7,0.38,0.06,-0.02,0,0.29,-0.04,-0.2,0.36,0.43,0.4,0.81,0.34,0.4,0.14,0.81,0.18,NA,0.12,-0.17,-0.28,0.15,-0.28,-0.03,0.11,-0.03,0.07,-0.03,NA,NA,-0.57,-0.3,0,0.06,-0.18
AGA1,agglutination during conjugation with cellular fusion,cell adhesion molecule binding,YNR044W,-0.1,-0.48,0.2,0.83,0.28,0.55,-0.28,0.1,0.04,0.54,0.31,0.69,1.89,1.35,0.41,0.27,0.08,-0.05,1.21,1.04,0,0.37,0.08,0.66,-0.81,-0.6,-0.53,0.01,0.29,0.41,-0.68,0.55,1.26,-0.06,0.78,1
EXG1,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity",YLR300W,-0.3,-0.48,-0.15,0.09,-0.2,-0.28,-0.17,-0.22,-0.36,-0.27,-0.18,0.04,1.12,0.69,0.57,0.4,0.62,0.17,0.64,0.61,0.24,0.58,0.57,0.64,-0.98,-0.49,-0.71,-0.34,0.09,0.04,-0.78,0.78,0.57,0.13,0.76,0.56
RAD5,DNA repair,ATPase activity,YLR032W,0.1,0.17,-0.31,-0.2,-0.02,0.16,0.19,-0.01,-0.18,-0.05,-0.09,0.01,0.43,0.24,0.2,0.21,0.13,0.06,-0.4,-0.25,0.02,0.02,0.16,0.05,0.17,-0.09,0.11,0.11,0.19,0.26,-0.36,-0.48,0.01,0.12,-0.04,0.02
SPC42,microtubule nucleation*,structural constituent of cytoskeleton,YKL042W,-0.53,-0.45,-0.11,-0.36,-0.12,0.06,0.08,-0.19,-0.25,-0.19,0.19,0.22,-0.03,0.34,0.06,0.14,0.25,0.18,0.02,0.03,0.11,-0.11,-0.1,-0.17,-0.22,-0.18,0.5,0.29,0.35,0.19,-0.21,-0.48,-0.05,0.31,0,0.04
,biological process unknown,molecular function unknown,YBR239C,-0.16,-0.13,-0.3,-0.22,-0.19,-0.15,0,0,0.15,0.13,-0.15,0.06,-0.07,0.03,-0.05,0.12,0.24,0.37,NA,0.13,-0.09,0.16,-0.03,0.03,0.06,0.02,-0.03,0.02,-0.16,0.05,-0.03,-0.06,-0.14,-0.15,-0.1,0
,biological process unknown,oxidoreductase activity,YOR246C,-0.06,0.08,-0.29,-0.21,0,0.18,-0.09,0.2,-0.16,-0.05,-0.13,0.23,-0.09,0.06,0.25,0.3,0.46,0.4,-0.37,-0.21,-0.2,-0.08,-0.06,-0.02,-0.32,-0.18,0.06,0.2,0.24,0.26,-0.13,0.11,0.09,0.16,0.2,0.29
SDT1,pyrimidine base metabolism,nucleotidase activity,YGL224C,0.79,0.76,-0.49,-0.45,-0.29,-0.03,-0.41,-0.26,0.45,0.26,0.64,0.58,2.17,1.92,-1.78,2,2.04,1.91,-0.77,-0.83,-0.41,-0.46,-0.45,-0.21,0.58,0.6,-0.41,0.05,-0.27,-0.66,-1.87,-0.62,-0.4,-0.12,-0.07,-0.45
YBP2,biological process unknown,molecular function unknown,YGL060W,-0.02,-0.22,-0.11,-0.04,0.12,0.09,0.02,-0.13,-0.05,0.12,0.15,0.43,0.3,0.24,0.11,0.15,0.07,0.23,0.01,0.07,0.03,0.06,0.04,0.17,-0.24,-0.35,-0.21,-0.02,0.1,0.02,0.14,-0.15,0.01,-0.15,0.12,0.18
,biological process unknown,molecular function unknown,YMR317W,0.55,-0.32,-0.46,-0.37,0.2,-0.05,-0.37,-0.17,0.12,0.26,0.09,0.33,0.34,NA,0.27,NA,NA,1.26,NA,0.23,0.01,0.04,0.05,-0.12,-0.47,-0.42,-0.4,-0.22,-0.1,-0.09,-0.17,-0.13,-0.31,-0.12,0.01,0.03
,biological process unknown,molecular function unknown,YCR102C,-0.89,-0.78,0.57,-0.74,-0.33,-0.12,-0.57,0.13,-0.01,0.1,0.26,0.15,-0.43,-0.22,0.24,0.33,0.2,0.23,0.07,0.69,0.67,0.58,0.24,0.12,-1.16,-0.57,-0.33,-0.17,-0.1,0.11,NA,-0.54,-1.06,-0.69,-0.82,-0.1
PRP21,"nuclear mRNA splicing, via spliceosome",RNA binding,YJL203W,-0.18,-0.13,-0.05,-0.22,-0.2,0.12,-0.5,-0.52,0.08,0.05,0.32,-0.09,-0.11,0.15,0.17,0.02,0.14,-0.34,-0.04,0.14,0.09,0.04,0.02,-0.1,-0.38,-0.27,-0.31,-0.23,-0.08,-0.12,-0.27,-0.77,-0.32,-0.02,-0.26,-0.13
BI2,RNA splicing,nuclease activity,Q0110,-1.55,-1.3,-0.62,-1.21,-0.39,-0.47,-1.84,-1.46,-0.07,-0.32,-0.11,-0.71,0.32,0,0.41,0.82,0.39,-0.27,0.09,0.78,0.55,0.24,0.08,-0.12,-1.36,0.21,0.36,0.29,-0.13,-0.54,NA,-1.45,-0.74,-0.38,-0.6,-0.85
PET111,protein biosynthesis,translation regulator activity,YMR257C,-0.43,-0.26,-0.26,-0.18,-0.12,-0.06,-0.07,-0.32,0.18,-0.01,-0.31,-0.18,0.26,0.19,0.23,0.25,0.05,0.04,0.14,0.39,0.08,-0.24,-0.24,-0.34,-0.41,-0.39,-0.18,-0.41,-0.23,-0.41,-0.52,-0.39,-0.35,-0.43,-0.48,-0.42
,biological process unknown,RNA binding,YDR117C,-0.19,-0.38,-0.02,-0.19,-0.19,0.01,0.25,-0.12,-0.01,-0.12,-0.07,0.03,0.13,0.08,-0.17,-0.41,-0.09,-0.14,0.5,0.1,0.05,-0.02,0.11,-0.06,-0.19,-0.18,-0.26,-0.17,-0.36,-0.1,-0.33,-0.29,-0.17,-0.23,-0.01,-0.14
,biological process unknown,molecular function unknown,YDR338C,-0.14,-0.47,-0.48,-0.46,-0.27,-0.42,0.29,0.57,-0.03,-0.24,-0.44,-0.34,-0.16,-0.21,-0.38,-0.05,-0.15,0.13,0.2,0.23,0,0.17,-0.05,0.15,-0.32,-0.16,-0.31,-0.19,-0.26,-0.22,-0.56,-0.11,-0.29,-0.13,0.06,-0.05
SPF1,protein amino acid glycosylation*,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",YEL031W,-0.64,-0.84,-0.5,-0.24,-0.29,-0.35,0.27,0.15,-0.4,-0.64,-0.54,-0.33,-0.15,-0.1,-0.36,-0.12,-0.12,0.23,-0.21,-0.02,-0.2,0,-0.25,0.11,-0.4,-0.5,-0.55,-0.32,-0.31,-0.47,-0.59,-0.85,-0.54,-0.75,-0.26,0.06
ERG4,ergosterol biosynthesis,delta24(24-1) sterol reductase activity,YGL012W,-0.59,-0.73,-0.71,-0.5,-0.43,-0.44,-0.36,0.05,-0.64,-0.79,-0.78,-0.63,0.08,0.21,-0.05,-0.22,-0.32,-0.03,0.6,0.27,-0.06,-0.19,-0.61,-0.17,-0.69,-0.54,-0.46,-0.51,-0.49,-0.6,-0.69,-0.89,-0.83,-0.66,-0.38,-0.28
RCE1,protein processing*,prenyl-dependent CAAX protease activity,YMR274C,-0.29,-0.48,-0.51,-0.4,-0.3,-0.39,-0.3,0.19,0.15,-0.2,-0.14,-0.1,-0.16,-0.18,-0.48,-0.07,-0.48,0.2,0.11,0.3,-0.37,0.01,-0.28,0.2,-0.96,-0.86,-0.39,-0.1,0.07,-0.21,0.01,-0.53,-0.47,-0.38,0.1,0.23
RBA50,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity,YDR527W,-0.43,-0.64,-0.79,-0.85,-0.59,-0.22,-0.67,-0.96,-1.06,-1.01,-0.57,-0.57,-0.04,-0.01,-0.08,-0.31,-0.12,-0.02,0.27,-0.03,0.28,0.1,0.02,-0.32,-0.3,-0.42,-0.46,-0.4,-0.28,-0.13,-0.39,-0.61,-0.22,0.05,-0.11,0
NSL1,chromosome segregation,molecular function unknown,YPL233W,-0.39,-0.31,-0.21,0.01,-0.33,-0.25,-0.46,-0.48,-0.3,-0.29,-0.14,-0.18,-0.15,0.15,-0.16,-0.02,-0.09,-0.03,-0.15,-0.21,0.1,-0.13,-0.08,-0.12,-0.38,-0.41,-1.26,-0.16,-0.14,-0.16,0.04,-0.39,-0.35,0.08,-0.45,-0.54
PXL1,maintenance of cell polarity (sensu Fungi),protein binding,YKR090W,-0.85,-0.79,-0.36,-0.26,-0.12,-0.15,0.36,0.24,-0.19,-0.32,-0.05,0.03,-0.34,-0.06,0.08,0.03,0.05,0.02,-0.37,-0.4,-0.34,-0.14,-0.1,0.09,-0.28,-0.4,-0.04,-0.2,-0.12,0.03,0.21,-0.08,0.17,-0.09,0.07,0.17
RRN7,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity,YJL025W,-0.58,-0.63,-0.43,-0.36,-0.08,0,-0.01,0.29,-0.14,-0.2,-0.23,0.16,-0.08,0.04,0.04,-0.05,0.04,0.31,-0.54,-0.46,-0.16,-0.05,-0.27,-0.04,-0.51,-0.42,-0.28,-0.11,-0.18,-0.17,0.22,0.05,0.01,-0.11,0.25,0.16
,biological process unknown,molecular function unknown,YMR171C,-0.7,-0.68,-0.46,-0.24,-0.43,-0.43,0.3,0.42,0.32,0.07,-0.12,-0.01,0.12,0.36,0.38,0.46,0.31,0.19,-0.55,-0.23,-0.08,0.05,-0.09,-0.07,-0.49,-0.47,-0.4,-0.4,-0.3,-0.31,-0.07,0.44,0.16,-0.41,-0.06,0.15
IST2,response to osmotic stress,molecular function unknown,YBR086C,-0.85,-0.66,-0.37,-0.27,-0.48,-0.81,-0.4,-0.28,0.08,-0.54,-0.25,-0.46,-0.19,-0.09,-0.11,0.37,-0.14,-0.12,-0.8,-0.11,-0.08,0.17,-0.16,0.25,-0.64,-0.43,-0.7,-0.63,-0.33,-0.68,0.29,0.49,0.03,-0.67,0.02,-0.1
,biological process unknown,transcriptional activator activity,YLL054C,-0.4,-0.58,-0.71,-0.48,-0.5,-0.38,0.04,-0.2,0.24,-0.16,-0.35,-0.5,-0.24,0,0.14,0.08,0.02,0.01,-0.46,-0.03,-0.33,-0.28,-0.32,-0.11,-0.66,-0.53,-0.46,-0.48,-0.37,-0.19,-0.09,-0.07,-0.32,-0.32,-0.41,-0.31
,biological process unknown,molecular function unknown,YOR291W,-0.3,-0.51,-0.26,-0.1,-0.17,-0.17,0.27,0.45,0.12,-0.08,-0.18,-0.17,0.07,-0.2,0.02,0.06,-0.16,0.22,-0.53,-0.33,-0.41,-0.3,-0.34,-0.3,-0.17,-0.24,-0.27,-0.11,-0.16,-0.06,0.06,-0.19,-0.3,-0.23,-0.02,-0.14
HXT12,biological process unknown*,molecular function unknown*,YIL170W,NA,NA,-0.73,-0.27,-0.18,-0.21,-0.19,-0.12,-0.48,NA,-0.29,-0.12,0.19,0.23,0.69,-0.39,NA,NA,NA,-0.17,-0.42,-0.22,-0.32,-0.47,-0.72,-0.15,-0.23,-0.23,0.28,0.32,NA,-0.39,-0.34,-0.14,0.06,0.37
,biological process unknown,molecular function unknown,YNL320W,-0.16,-0.39,-0.7,-0.46,-0.28,-0.16,-0.81,-0.09,-0.23,-0.06,-0.21,-0.12,-0.38,-0.41,-0.23,0.08,0,0.31,0.16,-0.1,-0.33,-0.02,-0.28,0.22,-0.51,-0.09,-0.13,0.16,0.05,0.01,-1.1,-0.12,-0.33,-0.2,0.16,0.17
SHS1,establishment of cell polarity (sensu Fungi)*,structural constituent of cytoskeleton,YDL225W,-0.32,-0.29,-0.26,-0.2,-0.1,-0.06,0.14,-0.18,-0.29,0.08,-0.02,-0.26,-0.28,-0.1,-0.26,-0.38,-0.12,-0.28,0.05,-0.07,0.05,0.04,0.07,-0.07,-0.15,-0.02,0.01,-0.13,-0.12,0.04,-0.83,-0.26,0.01,0.1,-0.14,-0.16
RUD3,ER to Golgi transport,molecular function unknown,YOR216C,-0.43,-0.54,-0.34,-0.4,-0.25,-0.03,0.07,0.07,0.05,0.06,0.18,-0.08,-0.12,-0.18,0.04,-0.25,-0.22,-0.21,0.2,0.07,0.13,0,0.05,-0.38,-0.22,-0.08,-0.09,-0.12,-0.14,-0.06,-0.4,-0.46,-0.13,-0.04,-0.15,-0.34
CTK1,protein amino acid phosphorylation*,protein kinase activity*,YKL139W,-0.31,-0.52,-0.54,-0.52,-0.5,-0.35,0.32,0.15,0.28,0.16,0.02,-0.52,-0.12,0.01,0.04,-0.16,-0.02,-0.34,0.31,-0.05,-0.1,-0.29,0.03,-0.35,-0.55,-0.17,-0.11,-0.26,-0.3,-0.13,-0.7,-0.32,-0.29,-0.16,-0.35,-0.38
,biological process unknown,molecular function unknown,YOR006C,-0.31,-0.23,-0.37,-0.27,-0.26,0.06,-0.31,-0.23,0.11,-0.04,0.03,-0.33,-0.12,0.12,0.24,-0.11,0.04,-0.33,-0.13,-0.16,-0.2,-0.16,0.13,-0.12,-0.48,-0.1,-0.17,-0.18,-0.14,0.02,-0.48,-0.37,-0.19,-0.13,-0.12,-0.05
RPB2,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity,YOR151C,-0.33,-0.25,0.01,-0.08,-0.13,-0.18,-0.22,-0.17,0.24,0.15,0.29,0.14,-0.08,-0.01,0.16,0.07,0.14,0.19,0,-0.14,0.05,-0.02,0.04,-0.08,-0.22,-0.16,0.07,-0.06,-0.09,-0.09,-0.79,-0.51,-0.4,-0.18,-0.23,-0.16
NPL6,protein-nucleus import,molecular function unknown,YMR091C,-0.71,-0.48,-0.58,-0.35,-0.35,-0.2,-0.26,-0.13,0.19,0.26,0.21,-0.04,-0.3,-0.16,0.19,0.07,0.33,-0.06,0.31,-0.2,0.05,0.07,0.18,-0.17,-0.78,-0.33,-0.24,-0.34,-0.25,-0.14,-1.13,-0.61,-0.35,-0.35,-0.42,-0.17
,biological process unknown,molecular function unknown,YOR166C,-0.28,-0.28,-0.4,-0.32,-0.3,-0.15,-0.31,-0.17,0.28,-0.01,-0.01,-0.2,-0.26,-0.29,-0.11,-0.1,0.03,-0.48,0.27,0.28,-0.02,0.04,-0.02,-0.03,-0.7,-0.19,-0.14,-0.12,-0.28,-0.06,-0.98,-0.06,-0.13,-0.28,-0.16,-0.27
,biological process unknown,molecular function unknown,YDR065W,-0.19,-0.01,-0.54,-0.5,-0.23,-0.1,-0.6,-0.48,0.04,0.17,0.19,-0.27,-0.1,-0.12,-0.12,-0.14,-0.3,-0.28,0.75,0.15,-0.11,-0.01,-0.14,-0.21,-0.43,-0.29,-0.34,-0.1,-0.3,-0.2,-1.02,-0.24,-0.19,-0.16,-0.37,-0.23
SET7,biological process unknown,molecular function unknown,YDR257C,-0.35,-0.27,-0.53,-0.63,-0.44,-0.09,-0.99,-0.71,-0.25,-0.2,-0.1,-0.26,-0.68,-0.44,-0.19,-0.15,0.01,0.02,0.42,-0.38,-0.2,-0.25,-0.1,-0.18,-0.8,-0.32,-0.5,-0.41,-0.28,-0.28,-1.02,-0.48,-0.32,-0.18,-0.26,-0.28
URB1,rRNA processing*,molecular function unknown,YKL014C,-0.53,-0.32,-0.17,-0.25,-0.07,0.03,-0.52,-0.39,-0.12,-0.08,0,0.07,-0.29,-0.13,0.05,-0.01,0.26,0.16,0.25,-0.27,-0.08,-0.07,0.02,0.06,-0.63,-0.36,-0.29,-0.34,-0.07,-0.01,-1.09,-0.44,-0.18,-0.06,0.07,0.05
MPP10,rRNA modification*,molecular function unknown,YJR002W,-0.17,-0.35,-0.25,-0.25,-0.19,-0.04,0.13,-0.07,-0.19,-0.43,-0.19,-0.05,-0.54,-0.24,-0.11,-0.15,-0.05,-0.2,0.76,-0.11,-0.16,-0.24,-0.19,-0.23,-0.65,-0.38,-0.27,-0.35,-0.09,-0.1,-1.45,-0.44,-0.19,-0.31,-0.21,-0.03
ALA1,alanyl-tRNA aminoacylation,alanine-tRNA ligase activity,YOR335C,-0.12,-0.22,-0.23,-0.11,-0.02,0.03,0.18,-0.02,0,0.15,0.06,0.29,-0.31,-0.15,0.05,-0.09,0.15,0.37,-0.05,-0.37,-0.23,-0.19,-0.14,-0.24,-0.1,-0.24,-0.16,-0.25,-0.18,-0.13,-1.4,-0.61,-0.4,-0.31,-0.28,-0.11
ESC2,chromatin silencing at silent mating-type cassette,molecular function unknown,YDR363W,-0.27,-0.28,-0.26,-0.2,-0.19,0.04,0.34,0.14,0.4,0.29,0.2,0.08,-0.02,0.1,0,0.25,0.22,-0.06,0.42,0.06,0.06,-0.13,0.21,-0.17,-0.23,-0.01,-0.28,-0.34,-0.23,-0.03,-1.57,-0.16,-0.2,-0.15,-0.16,-0.07
UTP22,35S primary transcript processing,snoRNA binding,YGR090W,-0.27,-0.38,0.17,0.01,0.1,0.15,-0.15,-0.04,0.44,0.15,0.25,0.33,-0.07,0.12,0.27,0.27,0.38,0.52,-0.5,-0.13,-0.03,0.01,0.08,0.18,-0.07,-0.18,-0.1,-0.07,0.03,0.06,-0.28,-0.34,-0.01,-0.04,0.11,0.2
AAH1,adenine catabolism,adenine deaminase activity,YNL141W,-0.9,-0.9,-0.61,-0.46,0.14,0.44,-0.07,0.56,0.54,0.78,0.68,1.14,-0.49,-0.19,0.07,0.15,0.34,0.55,-0.79,-0.4,-0.1,-0.02,0.11,0.21,-0.59,-0.39,-0.23,-0.2,-0.02,0.28,-0.59,0.4,0.51,0.39,0.65,0.67
SEC53,protein-ER targeting,phosphomannomutase activity,YFL045C,-1.19,-0.95,-0.46,-0.03,0.28,0.57,-0.3,0.05,0.39,0.89,0.82,1,0.16,0.43,0.59,0.77,0.85,1.01,-1.31,-0.19,0.08,0.3,0.24,0.5,-0.74,-0.41,-0.16,0.08,0.42,0.51,-0.87,0.16,0.48,0.24,0.67,0.75
ARO7,aromatic amino acid family biosynthesis,chorismate mutase activity,YPR060C,-1.09,-0.94,-0.9,-0.64,-0.31,0.02,-0.61,0.1,0.56,0.62,0.69,0.67,-0.35,0.16,0.34,0.41,0.79,1.14,-0.21,-0.34,0.29,0.28,0.14,0.25,-0.73,-0.36,0.04,0.23,0.12,0.23,-0.28,-0.18,0.1,0.21,0.25,0.21
,biological process unknown,molecular function unknown,YLR049C,-0.15,-0.39,-0.21,-0.23,-0.18,-0.21,0.1,0.08,0.4,0.24,0.3,0.13,0.23,0.24,0.25,0.28,0.31,0.36,-0.25,-0.14,-0.16,-0.09,-0.01,-0.01,-0.63,-0.52,0.01,0,-0.02,0.08,-0.63,0,-0.04,0.24,0.24,0.09
,fatty acid elongation,ketoreductase activity,YBR159W,-0.64,-0.43,-0.34,-0.22,-0.17,-0.03,-0.13,0.13,0.72,0.49,0.46,0.21,0.29,0.31,0.14,0.44,0.28,0.36,-0.24,-0.16,0.05,0.16,0.02,0.08,-0.58,-0.2,-0.23,-0.1,-0.03,0.05,-0.58,0.09,-0.03,-0.07,0.05,0.02
DPP1,signal transduction*,phosphatidate phosphatase activity*,YDR284C,-0.38,-0.42,-0.23,-0.05,-0.18,-0.04,0.29,0.76,0.7,0.72,0.71,0.56,0.63,0.46,0.34,0.42,0.31,0.23,-0.15,0.01,0.1,0.17,0.24,0.25,-0.52,-0.38,-0.26,0,0.17,0.15,-1.07,-0.18,-0.11,0.1,0.43,0.5
,biological process unknown,molecular function unknown,YGR026W,-0.42,-0.76,-0.51,-0.3,-0.22,0,0,0.55,0.19,0.22,0.05,0.26,-0.02,0.05,0.16,0.04,0.34,0.57,0.07,-0.2,-0.08,0.06,-0.03,0.09,-1.02,-0.72,-0.29,-0.24,-0.09,0.15,-0.69,0.28,-0.32,0.08,0.33,0.32
,biological process unknown,molecular function unknown,YDR307W,-0.28,-0.53,-0.26,-0.24,-0.02,-0.07,0.24,0.3,0.1,0.02,0.12,0.18,0.29,0.09,-0.01,0.02,-0.11,0.3,-0.06,0.04,-0.07,-0.06,-0.2,0.07,-0.34,-0.5,-0.05,0.11,0.16,0,-0.24,-0.01,-0.22,-0.08,0.3,0.34
SVL3,endocytosis,molecular function unknown,YPL032C,-0.61,-0.73,-0.23,0,0.26,0.34,-0.1,-0.2,-0.48,-0.42,-0.1,0.28,0.35,0.18,0.15,0.34,0.37,0.27,NA,-0.37,-0.07,-0.01,-0.25,0.19,-0.24,-0.73,-0.03,-0.09,0.4,0.37,-0.3,-0.2,0.3,0.05,0.41,0.59
SDA1,actin cytoskeleton organization and biogenesis*,molecular function unknown,YGR245C,-0.79,-0.84,-0.31,-0.36,0.1,0.23,0.11,-0.22,-0.5,-0.34,0.09,0.43,0.08,0.2,0.18,0.01,0.22,0.35,0.1,-0.6,-0.24,-0.3,-0.3,-0.16,-0.65,-0.73,-0.38,-0.29,0.15,0.08,-0.43,-0.54,0.09,-0.11,0.32,0.45
,,,YCR013C,-1.25,-1.79,-1.61,-0.9,-0.45,-0.2,-0.49,-0.52,-1.25,-0.86,-0.76,-0.06,1.03,0.1,-0.09,0.31,0.46,0.82,0.43,-0.69,-0.71,-0.34,-0.6,0.01,-1.4,-0.47,0,0.51,0.68,0.47,-1.49,-0.41,-0.06,0.18,0.48,0.82
,,,YPL136W,-0.14,-0.91,-0.68,-0.47,-0.23,-0.15,-0.28,-0.44,-0.28,0.07,-0.23,0.12,NA,0.43,0.19,NA,NA,1,NA,-0.59,-0.35,-0.27,-0.23,0.15,-0.45,-0.5,-0.27,0.14,0.3,0.36,-0.8,-0.24,0.01,0.12,0.38,0.53
GTT3,glutathione metabolism,molecular function unknown,YEL017W,-0.65,-0.7,-0.51,-0.21,-0.06,0.01,0.01,0.47,-0.31,-0.03,-0.12,0.28,0.14,0.18,0.04,0.43,0.29,0.36,-0.69,-0.2,-0.37,0.04,-0.21,0.27,-0.86,-0.38,0.09,0.42,0.39,0.42,-0.83,-0.39,-0.15,-0.04,0.32,0.49
,biological process unknown,molecular function unknown,YJR030C,-0.9,-0.58,-0.66,-0.27,0.11,0,0.02,0.08,-0.14,-0.11,-0.06,0.35,-0.27,0.08,0.21,0.37,0.36,0.55,-0.28,-0.19,0.12,0.05,-0.06,0.17,-0.05,-0.44,-0.09,-0.2,-0.04,-0.09,-0.25,-0.51,-0.15,-0.13,-0.07,0.08
SXM1,mRNA-nucleus export*,protein carrier activity,YDR395W,-0.56,-0.45,-0.35,-0.33,-0.03,0,-0.68,-0.49,-0.33,0,0.15,0.36,0.17,0.32,0.41,0.62,0.6,0.76,-0.29,0.23,0.29,0.33,0.42,0.31,0.02,-0.05,0.05,0.01,0.12,0.13,-0.49,-0.24,-0.01,-0.01,0.15,0.29
,biological process unknown,molecular function unknown,YLR363W-A,-0.72,-0.28,-0.55,-0.64,0.05,0.37,-1.53,-1.23,-0.03,-0.14,0.13,0.21,0.45,0.45,0.72,0.93,0.87,1.41,-0.29,-0.23,0.14,0.05,0,0.14,-0.66,-0.86,-0.25,-0.14,0.06,0.22,-0.39,-0.59,0.04,0.27,0.16,0.32
DHR2,ribosome biogenesis,RNA helicase activity,YKL078W,-0.55,-0.38,-0.55,-0.68,-0.07,0.23,-0.62,-0.52,-0.29,-0.45,-0.18,0.09,0.36,0.39,0.45,0.32,0.56,0.88,-0.04,-0.31,-0.07,-0.04,0.06,0.01,-0.48,-0.52,-0.47,-0.33,-0.03,0.24,-0.05,-0.52,-0.12,0.08,0.14,0.19
ENP2,rRNA processing,molecular function unknown,YGR145W,-0.73,-0.79,-0.71,-0.56,-0.15,0.01,-0.92,-0.79,-0.57,-0.14,0,0,0.56,0.42,0.53,0.35,0.6,0.79,0.01,-0.62,-0.03,-0.06,0.17,0,-0.43,-0.29,-0.04,-0.08,0.19,0.31,-0.67,-0.73,-0.09,0.22,0.16,0.3
,phospholipid biosynthesis,acyltransferase activity,YBR042C,-0.88,-0.59,-0.97,-0.79,-0.38,-0.06,-1.07,-0.62,0.06,-0.1,0.17,0.2,-0.02,-0.04,0.04,0.34,0.33,0.7,0.05,-0.21,-0.11,-0.03,-0.01,0.3,-0.85,-0.35,-0.3,-0.03,0,0.24,-0.65,0,-0.18,-0.15,0.15,0.27
